source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
1,Berkeley 58,,00 00.1,+60 58,00 00.1 +60 58,0.11,3715,8.2
2,Berkeley 59,,00 02.2,+67 25,00 02.2 +67 25,0.17,1000,6.8
3,Blanco 1,,00 03.3,-30 08,00 03.3 -30 08,2.9,269,8.32
4,Alessi 20,,00 10.6,+58 46,00 10.6 +58 46,0.3,450,8.22
5,Mayer 1,,00 21.9,+61 44,00 21.9 +61 44,0.2,1429,7.74
6,Stock 20,,00 25.3,+62 37,00 25.3 +62 37,0.16,909,8.53
7,Stock 21,,00 29.8,+57 55,00 29.8 +57 55,0.14,1100,8.72
8,NGC 129,,00 30.0,+60 13,00 30.0 +60 13,0.27,1625,7.87
9,NGC 146,,00 33.1,+63 18,00 33.1 +63 18,0.13,3032,7.37
10,NGC 225,,00 43.7,+61 47,00 43.7 +61 47,0.2,657,8.19
11,Berkeley 4,,00 45.5,+64 24,00 45.5 +64 24,0.2,3200,7.08
12,IC 1590,NGC 281,00 52.8,+56 38,00 52.8 +56 38,0.11,2384,6.84
13,Alessi 1,,00 53.5,+49 34,00 53.5 +49 34,0.45,800,8.85
14,NGC 381,,01 08.3,+61 36,01 08.3 +61 36,0.1,1058,8.77
15,Platais 2,,01 13.0,+32 05,01 13.0 +32 05,1.7,201,8.54
16,NGC 433,,01 15.2,+60 08,01 15.2 +60 08,0.12,2000,7.65
17,NGC 457,,01 19.6,+58 18,01 19.6 +58 18,0.26,2429,7.38
18,NGC 581,M 103,01 33.4,+60 39,01 33.4 +60 39,0.12,2194,7.44
19,NGC 637,,01 43.1,+64 02,01 43.1 +64 02,0.1,2160,7.21
20,NGC 654,,01 44.0,+61 53,01 44.0 +61 53,0.11,2041,7.3
21,NGC 659,,01 44.4,+60 40,01 44.4 +60 40,0.1,1938,7.8
22,NGC 663,,01 46.1,+61 14,01 46.1 +61 14,0.3,1952,7.14
23,Collinder 463,,01 46.9,+71 48,01 46.9 +71 48,0.72,702,8.35
24,Stock 4,,01 53.0,+57 04,01 53.0 +57 04,0.21,1200,8.7
