h_no,target_name,target_ra_dec,target_radius,split_cmd,abundant_stars,striped_cmd,OOI,notes
0,NGC 104,00 24 05.67 -72 04 52.6,3.17,0,1,,,
1,NGC 288,00 52 45.24 -26 34 57.4,2.23,0,1,,,
2,NGC 362,01 03 14.26 -70 50 55.6,0.82,0,1,,,
3,Whiting 1,02 02 57 -03 15 10,0.22,,,,,
4,NGC 1261,03 12 16.21 -55 12 58.4,0.68,0,,,,
5,Pal 1,03 33 20.04 +79 34 51.8,0.46,,,,,
6,AM 1,03 55 02.3 -49 36 55,0.41,,,,,
7,Eridanus,04 24 44.5 -21 11 13,0.46,,,,,
8,Pal 2,04 46 05.91 +31 22 53.4,0.50,,,,,
9,NGC 1851,05 14 06.76 -40 02 47.6,0.51,0,,,,
10,NGC 1904,05 24 11.09 -24 31 29.0,0.65,0,,,,
11,NGC 2298,06 48 59.41 -36 00 19.1,0.98,1,,,,
12,NGC 2419,07 38 08.47 +38 52 56.8,0.89,,,,,
13,Ko 2,07 58 17.0 +26 15 18,0.21,,,,,
14,Pyxis,09 07 57.8 -37 13 17,,1,,,,
15,NGC 2808,09 12 03.10 -64 51 48.6,0.80,1,,,1,
16,E 3,09 20 57.07 -77 16 54.8,2.10,1,,,,
17,Pal 3,10 05 31.9 +00 04 18,0.65,,,,,
18,NGC 3201,10 17 36.82 -46 24 44.9,3.10,1,1,,,
19,Pal 4,11 29 16.80 +28 58 24.9,0.51,,,,,
20,Ko 1,11 59 18.5 +12 15 36,0.26,,,,,
21,NGC 4147,12 10 06.30 +18 32 33.5,0.48,,,,,
22,NGC 4372,12 25 45.40 -72 39 32.4,3.91,1,1,,,
23,Rup 106,12 38 40.2 -51 09 01,1.05,1,,,,
24,NGC 4590,12 39 27.98 -26 44 38.6,1.51,0,,,,
25,NGC 4833,12 59 33.92 -70 52 35.4,2.41,1,1,,,
26,NGC 5024,13 12 55.25 +18 10 05.4,1.31,0,,,,
27,NGC 5053,13 16 27.09 +17 42 00.9,2.61,1,1,,,
28,NGC 5139,13 26 47.24 -47 28 46.5,5.00,1,1,,1,
29,NGC 5272,13 42 11.62 +28 22 38.2,2.31,0,1,,,
30,NGC 5286,13 46 26.81 -51 22 27.3,0.73,0,,,,
31,AM 4,13 56 21.7 -27 10 03,0.43,,,,,
32,NGC 5466,14 05 27.29 +28 32 04.0,2.30,,,,,
